site,species,n_rows,n_labelled
DRIAMS-A,Pseudomonas sp[2],2,0
DRIAMS-A,Pseudomonas stutzeri,31,26
DRIAMS-A,Pseudomonas synxantha,8,2
DRIAMS-A,Pseudomonas taetrolens,2,0
DRIAMS-A,Pseudoxanthomonas mexicana,23,0
DRIAMS-A,Rahnella aquatilis,9,6
DRIAMS-A,Raoultella ornithinolytica,155,1
DRIAMS-A,Raoultella planticola,22,0
DRIAMS-A,Raoultella terrigena,1,0
DRIAMS-A,Rhizobium radiobacter,34,8
DRIAMS-A,Rhodococcus erythropolis,1,0
DRIAMS-A,Rhodotorula mucilaginosa,4,0
DRIAMS-A,Robinsoniella peoriensis,17,0
DRIAMS-A,Rothia aeria,15,8
DRIAMS-A,Rothia amarae,7,0
DRIAMS-A,Rothia dentocariosa,106,7
DRIAMS-A,Rothia mucilaginosa,351,35
DRIAMS-A,Rothia terrae,12,0
DRIAMS-A,Ruminococcus gnavus,13,2
DRIAMS-A,Saccharomyces cerevisiae,165,25
DRIAMS-A,Salmonella anatum,33,3
DRIAMS-A,Salmonella mbanaka,5,0
DRIAMS-A,Salmonella newington,50,3
DRIAMS-A,Salmonella ohio,1,0
DRIAMS-A,Salmonella sp,16,3
DRIAMS-A,Salmonella spp,72,15
DRIAMS-A,Saprochaete clavata,1,0
DRIAMS-A,Sarocladium strictum,3,0
DRIAMS-A,Selenomonas infelix,2,0
DRIAMS-A,Serratia ficaria,2,2
DRIAMS-A,Serratia fonticola,5,4
DRIAMS-A,Serratia grimesii,2,2
DRIAMS-A,Serratia liquefaciens,37,25
DRIAMS-A,Serratia marcescens,1219,864
DRIAMS-A,Serratia odorifera,1,0
DRIAMS-A,Serratia plymuthica,1,0
DRIAMS-A,Serratia proteamaculans,5,4
DRIAMS-A,Serratia rubidaea,13,10
DRIAMS-A,Serratia ureilytica,41,24
DRIAMS-A,Slackia exigua,33,3
DRIAMS-A,Solobacterium moorei,32,0
DRIAMS-A,Sphingobacterium multivorum,4,0
DRIAMS-A,Sphingobacterium spiritivorum,3,1
DRIAMS-A,Sphingobacterium thalpophilum,1,0
DRIAMS-A,Sphingobium olei,2,0
DRIAMS-A,Sphingomonas adhaesiva,3,0
DRIAMS-A,Sphingomonas desiccabilis,6,6
DRIAMS-A,Sphingomonas koreensis,6,6
DRIAMS-A,Sphingomonas paucimobilis,26,18
DRIAMS-A,Sphingomonas pseudosanguinis,1,0
DRIAMS-A,Sphingomonas sanguinis,1,1
DRIAMS-A,Sphingomonas sp,2,0
DRIAMS-A,Sphingomonas trueperi,13,0
DRIAMS-A,Staphylococcus arlettae,2,0
DRIAMS-A,Staphylococcus aureus,6994,3805
DRIAMS-A,Staphylococcus auricularis,82,22
DRIAMS-A,Staphylococcus capitis,794,366
DRIAMS-A,Staphylococcus caprae,200,94
DRIAMS-A,Staphylococcus carnosus,2,0
DRIAMS-A,Staphylococcus cohnii,132,57
DRIAMS-A,Staphylococcus condimenti,5,3
DRIAMS-A,Staphylococcus delphini,1,1
DRIAMS-A,Staphylococcus epidermidis,9387,4803
DRIAMS-A,Staphylococcus equorum,3,0
DRIAMS-A,Staphylococcus gallinarum,4,2
DRIAMS-A,Staphylococcus haemolyticus,1145,234
DRIAMS-A,Staphylococcus hominis,1313,720
DRIAMS-A,Staphylococcus intermedius,4,3
DRIAMS-A,Staphylococcus lugdunensis,626,314
DRIAMS-A,Staphylococcus nepalensis,1,0
DRIAMS-A,Staphylococcus pasteuri,35,8
DRIAMS-A,Staphylococcus pettenkoferi,101,72
DRIAMS-A,Staphylococcus piscifermentans,9,3
DRIAMS-A,Staphylococcus pseudintermedius,33,18
DRIAMS-A,Staphylococcus saccharolyticus,78,7
DRIAMS-A,Staphylococcus saprophyticus,150,134
DRIAMS-A,Staphylococcus schleiferi,38,19
DRIAMS-A,Staphylococcus sciuri,18,0
DRIAMS-A,Staphylococcus simulans,160,31
DRIAMS-A,Staphylococcus sp[1],29,10
DRIAMS-A,Staphylococcus succinus,5,2
DRIAMS-A,Staphylococcus warneri,222,88
DRIAMS-A,Staphylococcus xylosus,31,18
DRIAMS-A,Stenotrophomonas acidaminiphila,6,0
DRIAMS-A,Stenotrophomonas maltophilia,660,423
DRIAMS-A,Stenotrophomonas rhizophila,2,0
DRIAMS-A,Stenotrophomonas sp,4,0
DRIAMS-A,Streptococcus agalactiae,2714,164
DRIAMS-A,Streptococcus anginosus,1868,130
DRIAMS-A,Streptococcus canis,60,15
DRIAMS-A,Streptococcus constellatus,810,85
DRIAMS-A,Streptococcus cristatus,34,19
DRIAMS-A,Streptococcus dysgalactiae,585,141
DRIAMS-A,Streptococcus equi_ssp_zooepidemicus,1,0
DRIAMS-A,Streptococcus equinus,7,4
DRIAMS-A,Streptococcus gallolyticus,135,32
DRIAMS-A,Streptococcus gordonii,136,50
DRIAMS-A,Streptococcus infantis,18,12
DRIAMS-A,Streptococcus intermedius,377,78
DRIAMS-A,Streptococcus lutetiensis,30,16
DRIAMS-A,Streptococcus massiliensis,21,4
DRIAMS-A,Streptococcus minor,3,0
DRIAMS-A,Streptococcus mitis,666,140
DRIAMS-A,Streptococcus mutans,26,1
DRIAMS-A,Streptococcus oralis,929,225
DRIAMS-A,Streptococcus parasanguinis,385,103
DRIAMS-A,Streptococcus peroris,44,10
DRIAMS-A,Streptococcus pneumoniae,426,291
DRIAMS-A,Streptococcus porcinus,6,0
DRIAMS-A,Streptococcus pseudopneumoniae,58,16
DRIAMS-A,Streptococcus pseudoporcinus,2,0
DRIAMS-A,Streptococcus pyogenes,883,169
DRIAMS-A,Streptococcus salivarius,288,36
DRIAMS-A,Streptococcus salivarius_ssp_thermophilus,48,27
DRIAMS-A,Streptococcus sanguinis,136,61
DRIAMS-A,Streptococcus sinensis,4,2
DRIAMS-A,Streptococcus sobrinus,1,0
DRIAMS-A,Streptococcus suis,3,0
DRIAMS-A,Streptococcus urinalis,20,0
DRIAMS-A,Streptococcus vestibularis,445,37
DRIAMS-A,Sutterella parvirubra,2,0
DRIAMS-A,Sutterella wadsworthensis,137,0
DRIAMS-A,Tissierella praeacuta,1,0
DRIAMS-A,Trichophyton rubrum,71,0
DRIAMS-A,Trichophyton tonsurans,32,0
DRIAMS-A,Trichosporon asahii,4,0
DRIAMS-A,Trichosporon inkin,5,0
DRIAMS-A,Trichosporon mucoides,3,0
DRIAMS-A,Trichosporon mycotoxinivorans,41,5
DRIAMS-A,Trueperella bernardiae,86,31
DRIAMS-A,Trueperella pyogenes,1,1
DRIAMS-A,Turicella otitidis,92,21
DRIAMS-A,Vagococcus fluvialis,1,0
DRIAMS-A,Veillonella atypica,66,0
DRIAMS-A,Veillonella dispar,22,0
DRIAMS-A,Veillonella montpellierensis,3,0
DRIAMS-A,Veillonella parvula,133,8
DRIAMS-A,Veillonella ratti,12,0
DRIAMS-A,Vibrio alginolyticus,7,3
DRIAMS-A,Vibrio fluvialis,1,0
DRIAMS-A,Vibrio parahaemolyticus,6,0
DRIAMS-A,Wautersiella falsenii,6,0
DRIAMS-A,Weeksella virosa,4,0
DRIAMS-A,Weissella confusa,36,0
DRIAMS-A,Wickerhamomyces anomalus,1,0
DRIAMS-A,Wohlfahrtiimonas chitiniclastica,2,0
DRIAMS-A,Yarrowia lipolytica,7,0
DRIAMS-A,Yersinia enterocolitica,15,8
DRIAMS-A,Yersinia intermedia,1,1
DRIAMS-A,Yersinia pseudotuberculosis,2,0
DRIAMS-A,not reliable identification 0.79,1,0
DRIAMS-A,not reliable identification 0.91,1,0
DRIAMS-A,not reliable identification 0.92,1,0
DRIAMS-A,not reliable identification 0.93,1,0
DRIAMS-A,not reliable identification 0.94,2,0
DRIAMS-A,not reliable identification 0.97,2,0
DRIAMS-A,not reliable identification 0.98,1,0
DRIAMS-A,not reliable identification 0.99,4,0
DRIAMS-B,Achromobacter insolitus,2,0
DRIAMS-B,Achromobacter sp[3],2,0
DRIAMS-B,Achromobacter xylosoxidans,4,3
DRIAMS-B,Acinetobacter baumannii,4,0
DRIAMS-B,Acinetobacter guillouiae,1,1
DRIAMS-B,Acinetobacter johnsonii,1,1
DRIAMS-B,Acinetobacter nosocomialis,1,0
DRIAMS-B,Acinetobacter parvus,2,0
DRIAMS-B,Acinetobacter pittii,4,3
DRIAMS-B,Acinetobacter ursingii,1,1
DRIAMS-B,Actinobaculum massiliense,1,0
DRIAMS-B,Actinomyces europaeus,3,0
DRIAMS-B,Actinomyces neuii,7,0
DRIAMS-B,Actinomyces odontolyticus,6,1
DRIAMS-B,Actinomyces oris,2,2
DRIAMS-B,Actinomyces turicensis,15,0
DRIAMS-B,Actinomyces urogenitalis,1,0
DRIAMS-B,Actinotignum sanguinis,2,0
DRIAMS-B,Actinotignum schaalii,16,0
DRIAMS-B,Aerococcus sanguinicola,8,7
DRIAMS-B,Aerococcus urinae,86,44
DRIAMS-B,Aerococcus viridans,1,0
DRIAMS-B,Aeromonas caviae,2,2
DRIAMS-B,Aeromonas media,1,0
DRIAMS-B,Aggregatibacter aphrophilus,11,0
DRIAMS-B,Aggregatibacter segnis,1,0
DRIAMS-B,Alcaligenes faecalis,1,0
DRIAMS-B,Anaerococcus murdochii,1,0
DRIAMS-B,Anaerococcus vaginalis,9,3
DRIAMS-B,Arcobacter butzleri,1,0
DRIAMS-B,Arthrobacter cumminsii,1,0
DRIAMS-B,Atopobium vaginae,2,0
DRIAMS-B,Bacillus cereus,8,1
DRIAMS-B,Bacillus circulans,1,0
DRIAMS-B,Bacillus licheniformis,1,0
DRIAMS-B,Bacillus mycoides,7,1
DRIAMS-B,Bacillus pumilus,5,0
DRIAMS-B,Bacillus simplex,1,0
DRIAMS-B,Bacillus thuringiensis,1,1
DRIAMS-B,Bacillus weihenstephanensis,1,0
DRIAMS-B,Bacteroides cellulosilyticus,1,0
DRIAMS-B,Bacteroides fragilis,17,4
DRIAMS-B,Bacteroides ovatus,1,0
DRIAMS-B,Bacteroides salyersiae,1,0
DRIAMS-B,Bacteroides stercoris,1,1
DRIAMS-B,Bacteroides thetaiotaomicron,5,0
DRIAMS-B,Bacteroides vulgatus,1,0
DRIAMS-B,Bifidobacterium dentium,1,0
DRIAMS-B,Bordetella trematum,1,0
DRIAMS-B,Burkholderia gladioli,1,0
DRIAMS-B,Campylobacter coli,1,1
DRIAMS-B,Campylobacter jejuni,28,21
DRIAMS-B,Campylobacter lari,3,3
DRIAMS-B,Campylobacter rectus,2,0
DRIAMS-B,Campylobacter ureolyticus,1,0
DRIAMS-B,Candida albicans,125,0
DRIAMS-B,Candida albicans_(africana),3,0
DRIAMS-B,Candida dubliniensis,15,0
DRIAMS-B,Candida glabrata,94,0
DRIAMS-B,Candida kefyr,2,0
DRIAMS-B,Candida krusei,9,0
DRIAMS-B,Candida parapsilosis,10,0
DRIAMS-B,Candida tropicalis,17,0
DRIAMS-B,Capnocytophaga gingivalis,1,0
DRIAMS-B,Citrobacter amalonaticus,2,0
DRIAMS-B,Citrobacter braakii,4,3
DRIAMS-B,Citrobacter freundii,29,15
DRIAMS-B,Citrobacter koseri,52,40
DRIAMS-B,Clostridium bifermentans,3,0
DRIAMS-B,Clostridium difficile,2,0
DRIAMS-B,Clostridium perfringens,9,2
DRIAMS-B,Clostridium sordellii,1,0
DRIAMS-B,Clostridium tertium,1,0
DRIAMS-B,Corynebacterium accolens,4,0
DRIAMS-B,Corynebacterium afermentans,1,0
DRIAMS-B,Corynebacterium amycolatum,24,0
DRIAMS-B,Corynebacterium aurimucosum,11,0
DRIAMS-B,Corynebacterium bovis,2,0
DRIAMS-B,Corynebacterium coyleae,7,0
DRIAMS-B,Corynebacterium imitans,1,0
DRIAMS-B,Corynebacterium jeikeium,3,0
DRIAMS-B,Corynebacterium minutissimum,2,0
DRIAMS-B,Corynebacterium mucifaciens,1,0
DRIAMS-B,Corynebacterium propinquum,4,0
DRIAMS-B,Corynebacterium pseudodiphtheriticum,4,0
DRIAMS-B,Corynebacterium riegelii,5,2
DRIAMS-B,Corynebacterium simulans,2,0
DRIAMS-B,Corynebacterium sp,2,0
DRIAMS-B,Corynebacterium striatum,12,1
DRIAMS-B,Corynebacterium tuberculostearicum,13,2
DRIAMS-B,Cronobacter sakazakii,2,1
DRIAMS-B,Delftia acidovorans,3,0
DRIAMS-B,Dermabacter hominis,25,0
DRIAMS-B,Dialister micraerophilus,1,0
DRIAMS-B,Eikenella corrodens,5,0
DRIAMS-B,Enterobacter aerogenes,40,24
DRIAMS-B,Enterobacter asburiae,11,6
DRIAMS-B,Enterobacter cloacae,101,69
DRIAMS-B,Enterobacter kobei,20,17
DRIAMS-B,Enterobacter ludwigii,7,3
DRIAMS-B,Enterococcus avium,17,7
DRIAMS-B,Enterococcus casseliflavus,2,1
DRIAMS-B,Enterococcus faecalis,305,172
DRIAMS-B,Enterococcus faecium,71,43
DRIAMS-B,Enterococcus gallinarum,4,1
DRIAMS-B,Enterococcus hirae,1,0
DRIAMS-B,Enterococcus malodoratus,1,0
DRIAMS-B,Enterococcus mundtii,2,2
DRIAMS-B,Enterococcus raffinosus,2,0
DRIAMS-B,Escherichia coli,838,213
DRIAMS-B,Escherichia hermannii,1,0
DRIAMS-B,Filifactor alocis,1,0
DRIAMS-B,Finegoldia magna,17,9
DRIAMS-B,Flavobacterium lindanitolerans,1,0
DRIAMS-B,Fusobacterium gonidiaformans,1,0
DRIAMS-B,Fusobacterium naviforme,2,0
DRIAMS-B,Fusobacterium necrophorum,5,0
DRIAMS-B,Fusobacterium nucleatum,8,0
DRIAMS-B,Fusobacterium sp[2],1,0
DRIAMS-B,Gardnerella sp,1,0
DRIAMS-B,Gardnerella vaginalis,14,0
DRIAMS-B,Gemella haemolysans,2,0
DRIAMS-B,Granulicatella adiacens,10,2
DRIAMS-B,Haemophilus haemolyticus,7,0
DRIAMS-B,Haemophilus influenzae,47,2
DRIAMS-B,Haemophilus parahaemolyticus,6,0
DRIAMS-B,Haemophilus parainfluenzae,35,0
DRIAMS-B,Hafnia alvei,10,2
DRIAMS-B,Helcococcus kunzii,3,0
DRIAMS-B,Helcococcus sueciensis,1,0
DRIAMS-B,Kingella kingae,3,0
DRIAMS-B,Klebsiella oxytoca,58,46
DRIAMS-B,Klebsiella pneumoniae,189,152
DRIAMS-B,Klebsiella variicola,55,43
DRIAMS-B,Kocuria marina,1,0
DRIAMS-B,Kocuria rhizophila,1,0
DRIAMS-B,Lactobacillus crispatus,4,0
DRIAMS-B,Lactobacillus delbrueckii,4,0
DRIAMS-B,Lactobacillus fermentum,9,0
DRIAMS-B,Lactobacillus gasseri,14,0
DRIAMS-B,Lactobacillus iners,6,0
DRIAMS-B,Lactobacillus jensenii,6,0
DRIAMS-B,Lactobacillus johnsonii,2,0
DRIAMS-B,Lactobacillus oris,1,0
DRIAMS-B,Lactobacillus paracasei,2,0
DRIAMS-B,Lactobacillus rhamnosus,5,0
DRIAMS-B,Lactobacillus salivarius,4,0
DRIAMS-B,Lactobacillus vaginalis,1,0
DRIAMS-B,Lactococcus lactis,2,0
DRIAMS-B,Legionella pneumophila,1,0
DRIAMS-B,Lelliottia amnigena,1,0
DRIAMS-B,Leptotrichia wadei,1,0
DRIAMS-B,Listeria monocytogenes,1,1
DRIAMS-B,MIX!Achromobacter insolitus,2,0
DRIAMS-B,MIX!Acinetobacter baumannii,1,0
DRIAMS-B,MIX!Acinetobacter guillouiae,1,0
DRIAMS-B,MIX!Acinetobacter pittii,3,0
DRIAMS-B,MIX!Actinomyces naeslundii,1,0
DRIAMS-B,MIX!Aerococcus urinae,3,0
DRIAMS-B,MIX!Aeromonas caviae,1,0
DRIAMS-B,MIX!Aeromonas enteropelogenes,1,0
DRIAMS-B,MIX!Aeromonas hydrophila,1,0
DRIAMS-B,MIX!Aeromonas media,1,0
DRIAMS-B,MIX!Aeromonas veronii,3,0
DRIAMS-B,MIX!Aggregatibacter aphrophilus,1,0
DRIAMS-B,MIX!Anaerococcus murdochii,1,0
DRIAMS-B,MIX!Bacillus cereus,1,0
DRIAMS-B,MIX!Bacteroides ovatus,1,0
DRIAMS-B,MIX!Bacteroides thetaiotaomicron,1,0
DRIAMS-B,MIX!Candida albicans,2,0
DRIAMS-B,MIX!Citrobacter freundii,1,0
DRIAMS-B,MIX!Clostridium perfringens,1,0
DRIAMS-B,MIX!Corynebacterium aurimucosum,4,0
DRIAMS-B,MIX!Eggerthella lenta,1,0
DRIAMS-B,MIX!Enterobacter aerogenes,1,0
DRIAMS-B,MIX!Enterobacter cloacae,3,0
DRIAMS-B,MIX!Enterobacter kobei,3,0
DRIAMS-B,MIX!Enterococcus faecalis,1,0
DRIAMS-B,MIX!Enterococcus faecium,1,0
DRIAMS-B,MIX!Enterococcus mundtii,1,0
DRIAMS-B,MIX!Escherichia coli,1,0
DRIAMS-B,MIX!Escherichia hermannii,1,0
DRIAMS-B,MIX!Finegoldia magna,1,0
DRIAMS-B,MIX!Fusobacterium canifelinum,1,0
DRIAMS-B,MIX!Haemophilus haemolyticus,2,0
DRIAMS-B,MIX!Haemophilus influenzae,21,0
DRIAMS-B,MIX!Haemophilus parainfluenzae,8,0
DRIAMS-B,MIX!Klebsiella oxytoca,1,0
DRIAMS-B,MIX!Klebsiella pneumoniae,2,0
DRIAMS-B,MIX!Lactobacillus crispatus,1,0
DRIAMS-B,MIX!Lactobacillus fermentum,1,0
DRIAMS-B,MIX!Lactobacillus iners,1,0
DRIAMS-B,MIX!Lactobacillus jensenii,1,0
DRIAMS-B,MIX!Lactobacillus paracasei,1,0
DRIAMS-B,MIX!Lactobacillus rhamnosus,2,0
DRIAMS-B,MIX!Lactobacillus ruminis,1,0
DRIAMS-B,MIX!Leclercia adecarboxylata,1,0
DRIAMS-B,MIX!Morganella morganii,1,0
DRIAMS-B,MIX!Neisseria cinerea,5,0
DRIAMS-B,MIX!Neisseria flavescens,1,0
DRIAMS-B,MIX!Neisseria gonorrhoeae,2,0
DRIAMS-B,MIX!Neisseria macacae,3,0
DRIAMS-B,MIX!Neisseria meningitidis,1,0
DRIAMS-B,MIX!Neisseria mucosa,6,0
DRIAMS-B,MIX!Neisseria subflava,14,0
DRIAMS-B,MIX!Neisseria zoodegmatis,1,0
DRIAMS-B,MIX!Pasteurella canis,2,0
DRIAMS-B,MIX!Pasteurella multocida,7,0
DRIAMS-B,MIX!Prevotella melaninogenica,1,0
DRIAMS-B,MIX!Proteus mirabilis,2,0
DRIAMS-B,MIX!Pseudomonas aeruginosa,7,0
DRIAMS-B,MIX!Rothia mucilaginosa,2,0
DRIAMS-B,MIX!Staphylococcus aureus,14,0
DRIAMS-B,MIX!Staphylococcus capitis,1,0
DRIAMS-B,MIX!Staphylococcus caprae,2,0
DRIAMS-B,MIX!Staphylococcus epidermidis,8,0
DRIAMS-B,MIX!Staphylococcus haemolyticus,3,0
DRIAMS-B,MIX!Staphylococcus hominis,1,0
DRIAMS-B,MIX!Staphylococcus lugdunensis,4,0
DRIAMS-B,MIX!Staphylococcus saccharolyticus,4,0
DRIAMS-B,MIX!Stenotrophomonas maltophilia,4,0
DRIAMS-B,MIX!Streptococcus agalactiae,2,0
DRIAMS-B,MIX!Streptococcus anginosus,2,0
DRIAMS-B,MIX!Streptococcus constellatus,3,0
DRIAMS-B,MIX!Streptococcus dysgalactiae,6,0
DRIAMS-B,MIX!Streptococcus gordonii,2,0
DRIAMS-B,MIX!Streptococcus oralis,1,0
DRIAMS-B,MIX!Streptococcus parasanguinis,2,0
DRIAMS-B,MIX!Streptococcus pyogenes,1,0
DRIAMS-B,MIX!Streptococcus urinalis,1,0
DRIAMS-B,MIX!Trueperella bernardiae,1,0
DRIAMS-B,MIX!Veillonella parvula,1,0
DRIAMS-B,MIX!Vibrio alginolyticus,1,0
DRIAMS-B,Megamonas sp[2],1,0
DRIAMS-B,Megasphaera micronuciformis,1,0
DRIAMS-B,Microbacterium aurum,2,0
DRIAMS-B,Micrococcus luteus,6,0
DRIAMS-B,Moraxella_sg_Branhamella catarrhalis,10,0
DRIAMS-B,Morganella morganii,37,31
DRIAMS-B,Neisseria cinerea,2,0
DRIAMS-B,Neisseria elongata,1,0
DRIAMS-B,Neisseria flavescens,1,0
DRIAMS-B,Neisseria gonorrhoeae,2,2
DRIAMS-B,Neisseria lactamica,1,0
DRIAMS-B,Neisseria macacae,1,0
DRIAMS-B,Neisseria subflava,32,0
DRIAMS-B,Neisseria zoodegmatis,1,0
DRIAMS-B,Parvimonas micra,3,0
DRIAMS-B,Pasteurella canis,2,0
DRIAMS-B,Pasteurella multocida,9,2
DRIAMS-B,Pediococcus pentosaceus,1,0
DRIAMS-B,Peptoniphilus harei,5,1
DRIAMS-B,Peptoniphilus olsenii,3,1
DRIAMS-B,Peptostreptococcus anaerobius,5,0
DRIAMS-B,Pichia norvegensis,3,0
DRIAMS-B,Plesiomonas shigelloides,1,0
DRIAMS-B,Prevotella bergensis,3,0
DRIAMS-B,Prevotella bivia,14,2
DRIAMS-B,Prevotella buccae,3,0
DRIAMS-B,Prevotella denticola,1,0
DRIAMS-B,Prevotella disiens,8,6
DRIAMS-B,Prevotella histicola,1,0
DRIAMS-B,Prevotella intermedia,1,0
DRIAMS-B,Prevotella melaninogenica,4,0
DRIAMS-B,Prevotella nanceiensis,1,0
DRIAMS-B,Prevotella nigrescens,1,0
DRIAMS-B,Prevotella oris,2,0
DRIAMS-B,Prevotella salivae,1,0
DRIAMS-B,Propionibacterium acnes,42,0
DRIAMS-B,Propionibacterium avidum,12,0
DRIAMS-B,Propionibacterium granulosum,6,0
DRIAMS-B,Propionibacterium sp[2],2,0
DRIAMS-B,Proteus hauseri,3,3
DRIAMS-B,Proteus mirabilis,108,85
DRIAMS-B,Proteus vulgaris,24,18
DRIAMS-B,Providencia rettgeri,15,8
DRIAMS-B,Providencia stuartii,2,0
DRIAMS-B,Pseudomonas aeruginosa,190,142
DRIAMS-B,Pseudomonas citronellolis,2,0
DRIAMS-B,Pseudomonas monteilii,7,3
DRIAMS-B,Pseudomonas sp,2,2
DRIAMS-B,Raoultella ornithinolytica,11,6
DRIAMS-B,Rothia mucilaginosa,15,1
DRIAMS-B,Saccharomyces cerevisiae,7,0
DRIAMS-B,Salmonella anatum,3,2
DRIAMS-B,Salmonella newington,1,1
DRIAMS-B,Salmonella spp,7,5
DRIAMS-B,Serratia liquefaciens,2,0
DRIAMS-B,Serratia marcescens,29,16
DRIAMS-B,Sphingomonas paucimobilis,5,4
DRIAMS-B,Staphylococcus aureus,528,351
DRIAMS-B,Staphylococcus capitis,52,29
DRIAMS-B,Staphylococcus caprae,46,30
DRIAMS-B,Staphylococcus cohnii,6,3
DRIAMS-B,Staphylococcus epidermidis,452,239
DRIAMS-B,Staphylococcus haemolyticus,107,33
DRIAMS-B,Staphylococcus hominis,73,39
DRIAMS-B,Staphylococcus lugdunensis,53,27
DRIAMS-B,Staphylococcus pasteuri,3,0
DRIAMS-B,Staphylococcus pettenkoferi,7,2
DRIAMS-B,Staphylococcus saccharolyticus,3,2
DRIAMS-B,Staphylococcus saprophyticus,10,9
DRIAMS-B,Staphylococcus schleiferi,4,3
DRIAMS-B,Staphylococcus simulans,22,13
DRIAMS-B,Staphylococcus sp[1],1,0
DRIAMS-B,Staphylococcus warneri,9,5
DRIAMS-B,Staphylococcus xylosus,2,2
DRIAMS-B,Stenotrophomonas maltophilia,12,9
DRIAMS-B,Streptococcus agalactiae,165,79
DRIAMS-B,Streptococcus anginosus,103,22
DRIAMS-B,Streptococcus canis,14,6
DRIAMS-B,Streptococcus constellatus,22,6
DRIAMS-B,Streptococcus cristatus,2,2
DRIAMS-B,Streptococcus dysgalactiae,45,27
DRIAMS-B,Streptococcus equinus,1,1
DRIAMS-B,Streptococcus gallolyticus,13,6
DRIAMS-B,Streptococcus gordonii,11,4
DRIAMS-B,Streptococcus intermedius,12,4
DRIAMS-B,Streptococcus lutetiensis,3,0
DRIAMS-B,Streptococcus massiliensis,6,6
DRIAMS-B,Streptococcus mitis,37,4
DRIAMS-B,Streptococcus mutans,11,4
DRIAMS-B,Streptococcus oralis,58,17
DRIAMS-B,Streptococcus parasanguinis,19,2
DRIAMS-B,Streptococcus pneumoniae,32,23
DRIAMS-B,Streptococcus pseudopneumoniae,3,2
DRIAMS-B,Streptococcus pyogenes,81,49
DRIAMS-B,Streptococcus salivarius,10,0
DRIAMS-B,Streptococcus sanguinis,1,0
DRIAMS-B,Streptococcus urinalis,2,0
DRIAMS-B,Streptococcus vestibularis,12,1
DRIAMS-B,Sutterella wadsworthensis,1,0
DRIAMS-B,Trichosporon asahii,2,0
DRIAMS-B,Trueperella bernardiae,4,0
DRIAMS-B,Veillonella parvula,2,0
DRIAMS-B,Weissella confusa,2,0
DRIAMS-B,Yersinia pseudotuberculosis,2,0
DRIAMS-B,no peaks found,189,0
